0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-75.29493,33.62453,-87.65925,32.976223,-39.567665,25.436068,-52.885612,23.726377,-42.975357,26.23978,-57.473602,86.78684,-26.025473,22.776896,-79.09045,31.861677,-89.29579,49.2224,-66.999176,25.798134,-77.54923,31.947289,-90.34608,51.56182,-41.64367,25.14043,-38.167908,25.066599,-73.31668,32.389793,-41.568016,25.071129
-22.86984,-0.11465751,-33.06443,-9.673128,-19.851782,-0.13063519,-22.45152,1.8222911,-21.813612,0.298874,-43.254047,-13.349255,-19.781021,-2.902287,-28.320322,2.9603457,-42.88241,-8.055345,-21.202463,3.0863757,-22.107595,2.0239568,-43.863636,-12.074763,-21.216396,0.19700615,-20.882906,-0.51296633,-22.452408,-1.1036323,-21.232664,-0.006081282
-24.686739,51.946377,-26.354467,47.390675,-14.326213,52.711212,-25.266983,48.06223,-14.145986,54.98243,-42.596535,37.356125,-20.152153,51.320316,-29.212538,50.671524,-22.769936,54.65113,-36.856503,45.29719,-27.193851,52.134544,-23.3286,50.87876,-16.33431,55.603065,-12.757047,51.919933,-24.363688,51.454224,-15.9963875,54.815567
-21.114784,75.06614,-18.67318,55.035393,-17.888512,50.10203,-26.27744,72.46796,-18.518017,50.35935,-17.513475,61.45753,-30.389061,63.815365,-26.463367,54.100914,-43.82816,44.638817,-22.032883,63.50384,-21.574818,72.855095,-43.306202,46.66306,-20.971222,50.77579,-24.129288,67.01322,-22.276598,73.540955,-27.415281,70.7433
56.329952,1.4888612,40.304897,8.656385,46.493572,-0.8056787,53.195316,1.0177855,48.527634,0.34368595,60.409157,-18.45031,44.843185,-1.7824727,53.79685,2.5092347,46.14574,25.718185,54.355247,0.96908736,53.651817,3.339929,61.60291,-6.5939174,50.02687,0.19652556,45.79907,-0.7846702,55.1029,2.0578003,49.29065,0.13425139
9.993756,-7.080553,8.127521,7.262726,4.990355,-3.820729,6.708242,-8.487648,4.5565004,-5.777013,25.58322,3.9566848,4.687186,-4.8413496,10.733719,-6.6439843,-4.89437,7.022814,6.192861,-9.956567,9.961964,-7.234926,5.195175,25.865742,5.6760745,-6.3993273,5.6337624,-3.3953378,9.288903,-7.247078,5.0160365,-6.6578565
-70.43462,-25.657366,-81.09485,-37.110413,-56.30692,-32.41549,-63.29675,-30.75946,-58.505558,-32.64017,-62.093567,-45.57477,-54.65517,-29.857042,-75.86913,-27.830751,-82.339226,-47.544987,-66.31025,-30.0559,-73.71255,-26.124401,-68.93457,-44.273186,-61.245377,-31.722216,-55.606205,-32.676865,-68.92017,-26.604069,-60.568565,-31.641739
-6.83225,-25.84576,-19.34571,-20.09055,-11.262194,-18.797968,-12.357244,-20.005983,-12.962252,-19.702976,-13.747986,-22.275726,-13.94315,-18.092085,-19.779257,-21.310003,-17.63017,-21.917274,-9.969234,-20.626022,-17.777485,-20.653538,-13.762758,-24.170652,-11.843672,-19.616428,-12.445646,-18.673069,-7.8198,-20.741278,-11.423163,-19.829433
-60.607388,-29.951265,-68.76113,-42.12788,-49.71303,-35.71045,-54.610535,-33.59866,-50.948742,-36.100254,-70.93881,-63.48985,-48.6769,-33.285618,-65.530815,-32.389023,-71.64265,-56.676144,-57.261578,-33.92699,-63.84657,-30.830902,-68.80097,-61.07391,-52.973137,-33.925888,-49.261436,-36.18791,-58.56732,-29.245367,-52.26803,-33.70346
-29.532915,-4.6299047,-35.95729,-9.175104,-25.142422,-3.907545,-27.748085,-1.5497586,-27.361273,-3.5067294,-45.73483,-15.291911,-26.110567,-2.7622144,-33.567657,-1.7548672,-45.542618,-10.110218,-27.36293,-0.054926828,-29.636274,-3.561364,-46.148,-12.660569,-27.036049,-3.3363209,-25.99926,-4.122156,-29.356148,-4.745246,-26.985025,-3.380152
-10.540902,-18.345436,-6.582604,-19.282455,-16.746943,-18.68588,-16.531717,-15.508429,-18.513172,-19.408775,-27.634445,-25.802149,-19.44551,-18.129868,-9.028396,-22.077948,-27.877157,-24.409523,-14.9685135,-18.068855,-8.180685,-19.072382,-26.039204,-25.731323,-15.44517,-15.028269,-18.787294,-19.350954,-12.435612,-20.627129,-15.599272,-15.335082
-38.85597,-13.7394,-52.36153,-20.937626,-30.758587,-13.440377,-34.726578,-10.951615,-32.176315,-13.80132,-58.452328,-31.818201,-31.788671,-11.042899,-42.43208,-13.156945,-59.129627,-27.23356,-34.312054,-9.471679,-40.937775,-13.788327,-58.928207,-30.353577,-34.096756,-12.655294,-32.105186,-13.337886,-41.644646,-10.520489,-34.07021,-12.552687
-58.772793,-9.089069,-68.19716,-16.040985,-49.178135,-3.6959422,-55.435207,-1.0376768,-52.89624,-4.9491057,-74.03512,-28.244516,-47.566547,-1.4047076,-61.066753,-11.237274,-72.83822,-19.838888,-54.906372,-0.72886336,-58.238503,-10.462206,-73.146194,-24.264204,-54.402782,-2.1974933,-48.896183,-3.8570595,-62.26131,-4.671828,-53.988163,-2.7839737
-10.498699,-35.50233,-17.459124,-41.392662,-13.288882,-28.037785,-14.529389,-29.898222,-14.366646,-28.78585,-3.5347571,-54.70778,-13.880991,-26.493229,-11.093065,-34.822254,-15.779762,-47.982574,-11.75777,-29.593805,-11.730112,-35.08078,-14.870606,-40.569794,-14.059853,-29.451252,-13.843011,-27.818598,-9.248894,-33.532936,-14.122793,-29.217896
62.333897,7.316701,64.93151,6.129122,47.42207,-2.031154,54.110973,-1.0906366,49.279423,-1.2872677,53.22341,-3.219368,45.837067,-3.2607837,62.361877,-0.5107708,77.41075,-8.817752,55.572594,-0.6448481,65.73504,2.0150182,65.822624,-9.488923,50.720245,-1.2994379,46.7874,-2.333462,56.332867,0.38334832,50.02563,-1.3774021
-53.545605,-45.56709,-57.379467,-60.808624,-42.168472,-45.797318,-47.0023,-48.002518,-43.051594,-48.610874,-48.262455,-80.5138,-41.810505,-43.3326,-57.077324,-48.856518,-53.38664,-74.46218,-48.70379,-47.52854,-56.019596,-46.970047,-51.551704,-79.01033,-44.96891,-47.331264,-41.52933,-46.036907,-51.798473,-45.181427,-44.353745,-47.270473
-55.47669,-46.249886,-59.565815,-61.987106,-43.42857,-47.19595,-48.53522,-49.18715,-44.37996,-49.949043,-51.639065,-80.9356,-43.057873,-44.648045,-59.10921,-49.403053,-55.588657,-76.303,-50.41405,-48.540817,-57.977455,-47.574158,-53.646046,-80.85004,-46.38696,-48.522953,-42.736443,-47.4252,-53.68017,-45.924248,-45.776577,-48.429344
66.70437,20.026867,73.38651,18.93129,56.283596,11.712296,59.609585,16.402939,55.065434,13.5029745,75.48526,6.8189073,55.414013,8.891714,65.02487,18.749817,84.29697,18.064371,64.34261,17.451527,66.74879,19.088228,87.54508,18.214226,58.266193,14.460095,56.695538,10.404775,65.93196,19.456278,57.41961,14.530633
-45.76231,3.0485768,-56.750443,-1.3688568,-38.517857,-13.441042,-43.858402,-4.48924,-41.998283,-11.992859,-66.96014,-10.3283825,-37.983788,-7.7480497,-49.162033,2.2738996,-66.55978,-3.8868635,-42.89362,-3.786198,-45.84646,4.0065346,-72.12684,-5.520398,-42.63823,-6.516309,-39.00217,-13.3490095,-43.299335,1.7023304,-42.649452,-6.3080707
-33.911793,-68.90059,-26.391441,-82.703514,-20.657162,-68.56676,-23.553385,-73.38494,-20.012262,-71.04827,9.49052,-81.20803,-22.165253,-58.113285,-34.62554,-73.67335,-5.5508075,-85.40348,-29.629932,-71.92835,-34.786015,-69.24483,0.5792117,-85.855225,-21.725641,-71.56837,-19.723682,-67.78419,-34.3533,-72.71337,-21.412586,-71.50509
-12.350838,11.763634,-19.723124,-7.0788407,-13.691548,12.590486,-11.475454,15.09329,-15.137535,13.293719,-31.229567,-12.150669,-6.7066965,14.796918,-34.56448,19.573532,-31.418453,-8.962876,-9.999884,15.675019,-11.82139,12.167905,-34.446854,-11.627747,-13.150403,13.44454,-13.3493805,11.854707,-11.202904,14.966752,-13.209922,13.218964
-30.886932,-56.83512,-26.08093,-63.936573,-24.790194,-50.024887,-27.860893,-55.059345,-24.93584,-53.880558,-6.383701,-77.50423,-25.294136,-47.002132,-31.904173,-58.3911,-22.883574,-68.549324,-27.61799,-54.93546,-31.731188,-56.97077,-18.138866,-69.429344,-26.476257,-53.769505,-24.464762,-49.180412,-30.924864,-56.432682,-26.178646,-53.741627
46.950188,-42.157566,45.514736,-43.833572,39.183567,-32.357384,44.098587,-36.7496,41.12744,-33.35046,52.923653,-50.634983,36.742924,-30.92173,44.87153,-43.971058,49.69727,-41.48514,44.111572,-40.28502,44.602055,-43.2299,45.215263,-45.26655,42.308987,-34.153625,37.89566,-31.681286,45.95473,-40.215828,41.67937,-33.850048
-24.313,63.605057,-25.351076,58.59596,-19.25237,58.030876,-23.805902,60.37773,-20.176935,60.156643,-40.06046,45.476734,-25.824602,55.397274,-27.906452,60.891132,-31.778913,56.948334,-28.01941,57.701267,-22.423626,60.958252,-31.028395,59.51096,-22.436785,60.63719,-18.308037,57.510635,-23.05528,62.934574,-21.739481,60.186375
-49.565178,50.83379,-57.49765,57.471165,-30.66087,50.12837,-42.08886,49.040035,-28.50028,45.506855,-24.046953,73.94349,-32.282562,47.337017,-51.928123,50.782887,-59.942577,47.840096,-50.999733,53.853104,-51.745834,50.512585,-58.437595,49.52693,-32.40375,45.70089,-29.53354,50.477467,-48.464924,50.913944,-31.180328,45.4691
